TF,Category
Fli1,Heptad
Gata2,Heptad
Lyl1,Heptad
Runx1,Heptad
Gata1,Heptad
Cebpa,Lineage
Gfi1b,Lineage
Meis1,Lineage
Spi1,Lineage
Ddit3,Lineage
Gfi1,Lineage
Ikzf1,Lineage
Klf1,Lineage
Klf4,Lineage
Mecom,Lineage
Meis2,Lineage
Myb,Lineage
Myc,Lineage
Nfyc,Lineage
Nr2c2,Lineage
Pbx1,Lineage
Zbtb7a,Lineage
Cdx4,Lineage
Cebpe,Lineage
Foxa1,Lineage
Trp53,Signaling
Creb1,Signaling
Elk1,Signaling
Fos,Signaling
Irf7,Signaling
Nfkb1,Signaling
Rxrg,Signaling
Stat5a,Signaling
Cic,Universal
Nfix,Universal
Sp1,Universal
Spdef,Universal
Tcf3,Universal
Tcf12,Universal
Tfap2a,Universal
Yy1,Universal
Ctcf,Universal
